epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,7.86672,1.54664,3.6076,1.85126,0.57055,0.1,0.15629,0.1287,1.4481,3.8928,2.00242,4.444e-05,4.444e-05,4.444e-05
2,16.2119,1.47306,3.06186,1.6196,0.87314,0.49251,0.56464,0.3385,1.38033,3.32469,1.48514,9.90001e-05,9.90001e-05,9.90001e-05
3,25.4013,1.47432,2.43047,1.62801,0.31304,0.81939,0.47223,0.32137,1.37492,1.6745,1.36717,0.00015246,0.00015246,0.00015246
4,34.2744,1.32546,1.67488,1.46899,0.27251,0.65854,0.51478,0.30485,1.62954,5.01037,1.5436,0.000204821,0.000204821,0.000204821
5,43.0775,1.31502,1.47967,1.40981,0.15252,0.58235,0.33609,0.18821,1.62397,2.11615,1.66842,0.000256081,0.000256081,0.000256081
6,51.9528,1.36406,1.45687,1.44552,0.55697,0.39651,0.34904,0.18947,1.70328,2.73331,1.62519,0.000306242,0.000306242,0.000306242
7,60.8659,1.29558,1.43247,1.36922,0.14356,0.57423,0.23224,0.11451,1.67586,3.54028,1.83063,0.000355302,0.000355302,0.000355302
8,69.8042,1.32859,1.43519,1.43066,0.7596,0.39163,0.41571,0.17453,1.74582,2.27787,1.90594,0.000403263,0.000403263,0.000403263
9,78.7338,1.28295,1.36898,1.3846,0.36817,0.55378,0.48507,0.26604,1.67468,2.20291,1.94012,0.000450124,0.000450124,0.000450124
10,87.6882,1.23952,1.31809,1.38651,0.31705,0.71569,0.45791,0.26879,1.89203,2.04508,2.05116,0.000495885,0.000495885,0.000495885
11,96.7254,1.21924,1.27895,1.36602,0.39914,0.44675,0.40634,0.21534,1.81183,1.96994,1.86267,0.000540546,0.000540546,0.000540546
12,105.803,1.22226,1.34341,1.39602,0.26811,0.35546,0.25289,0.14165,2.06853,2.71665,2.12823,0.000584107,0.000584107,0.000584107
13,114.728,1.2137,1.13628,1.3655,0.69408,0.39328,0.38818,0.17066,1.95953,3.38583,1.93722,0.000626568,0.000626568,0.000626568
14,140.719,1.23034,1.29234,1.41708,0.69408,0.39328,0.38818,0.17066,1.95953,3.38583,1.93722,0.00066793,0.00066793,0.00066793
15,175.268,1.1626,1.327,1.34415,0.5108,0.27591,0.23987,0.1092,2.12506,2.48737,2.09041,0.000708191,0.000708191,0.000708191
16,186.618,1.10408,1.16277,1.2565,0.38357,0.62997,0.33617,0.13131,2.02529,3.80591,2.13271,0.000747353,0.000747353,0.000747353
17,195.559,1.16672,1.18879,1.32271,0.20463,0.61974,0.37422,0.19776,1.89101,2.37478,2.11029,0.000785415,0.000785415,0.000785415
18,204.342,1.15711,1.17413,1.39826,0.20463,0.61974,0.37422,0.19776,1.89101,2.37478,2.11029,0.000822377,0.000822377,0.000822377
19,213.251,1.18082,1.16004,1.38874,0.50897,0.43341,0.43459,0.20622,1.9223,2.23665,2.19849,0.000858239,0.000858239,0.000858239
20,234.424,1.20348,1.18479,1.45552,0.40256,0.47738,0.38122,0.15994,2.09437,7.9804,2.44101,0.000893001,0.000893001,0.000893001
21,269.345,1.29513,1.3718,1.36388,0.40256,0.47738,0.38122,0.15994,2.09437,7.9804,2.44101,0.000891022,0.000891022,0.000891022
22,303.919,1.34469,1.41732,1.58743,0.45123,0.32493,0.34574,0.17011,2.20429,2.45742,2.47207,0.000880023,0.000880023,0.000880023
23,312.83,1.23224,1.11467,1.47121,0.24583,0.41481,0.36042,0.22124,1.84013,2.55577,2.20106,0.000869024,0.000869024,0.000869024
24,321.699,1.34835,1.36947,1.4712,0.24583,0.41481,0.36042,0.22124,1.84013,2.55577,2.20106,0.000858025,0.000858025,0.000858025
25,330.604,1.16957,1.15557,1.34626,0.60781,0.55182,0.54685,0.29238,1.69511,2.66325,1.95117,0.000847026,0.000847026,0.000847026
26,349.783,1.17901,1.20687,1.31184,0.60781,0.55182,0.54685,0.29238,1.69511,2.66325,1.95117,0.000836027,0.000836027,0.000836027
27,384.663,1.12478,1.0274,1.35352,0.65942,0.52734,0.53292,0.26141,1.78608,3.50359,2.03521,0.000825029,0.000825029,0.000825029
28,419.33,1.18446,1.13203,1.33403,0.48009,0.77513,0.68346,0.32797,1.67429,2.04252,1.8692,0.00081403,0.00081403,0.00081403
29,439.613,1.05492,1.14089,1.33089,0.48009,0.77513,0.68346,0.32797,1.67429,2.04252,1.8692,0.000803031,0.000803031,0.000803031
30,448.904,1.15885,1.22381,1.35778,0.54369,0.84694,0.73283,0.33422,1.59704,1.37302,1.7838,0.000792032,0.000792032,0.000792032
31,458.193,1.13227,1.29143,1.33975,0.75765,0.39104,0.63562,0.33232,1.53857,1.42276,1.69212,0.000781033,0.000781033,0.000781033
32,475.122,1.08196,1.05531,1.32149,0.75765,0.39104,0.63562,0.33232,1.53857,1.42276,1.69212,0.000770034,0.000770034,0.000770034
33,509.968,1.09131,1.08742,1.26595,0.75737,0.57255,0.67706,0.38966,1.58377,1.49878,1.71181,0.000759035,0.000759035,0.000759035
34,545.365,1.04011,1.05274,1.27376,0.75737,0.57255,0.67706,0.38966,1.58377,1.49878,1.71181,0.000748036,0.000748036,0.000748036
35,580.209,0.98515,0.90104,1.23945,0.66144,0.76162,0.75325,0.42922,1.68846,1.67839,1.82036,0.000737037,0.000737037,0.000737037
36,589.472,1.07148,1.0477,1.30168,0.74979,0.50219,0.70526,0.4758,1.6631,1.75423,1.82843,0.000726038,0.000726038,0.000726038
37,598.84,1.1257,0.8897,1.16173,0.74979,0.50219,0.70526,0.4758,1.6631,1.75423,1.82843,0.00071504,0.00071504,0.00071504
38,608.14,1.05212,0.91994,1.22897,0.66258,0.54762,0.67003,0.43813,1.70743,1.99518,1.78974,0.000704041,0.000704041,0.000704041
39,623.314,1.04695,0.93907,1.25028,0.75208,0.75256,0.7897,0.52495,1.57304,1.37952,1.7132,0.000693042,0.000693042,0.000693042
40,658.605,1.07813,0.94705,1.25788,0.75208,0.75256,0.7897,0.52495,1.57304,1.37952,1.7132,0.000682043,0.000682043,0.000682043
41,693.739,0.9314,0.77514,1.25919,0.83092,0.8803,0.87,0.56522,1.47839,1.40714,1.63046,0.000671044,0.000671044,0.000671044
42,728.538,0.87728,0.69016,1.15213,0.83092,0.8803,0.87,0.56522,1.47839,1.40714,1.63046,0.000660045,0.000660045,0.000660045
43,746.688,0.92075,0.76519,1.12999,0.83424,0.76302,0.81862,0.50792,1.54898,1.38521,1.71968,0.000649046,0.000649046,0.000649046
44,755.562,0.92265,0.77745,1.21274,0.84562,0.73224,0.7886,0.44358,1.55898,1.45246,1.78018,0.000638047,0.000638047,0.000638047
45,764.408,0.90642,0.92178,1.34939,0.84562,0.73224,0.7886,0.44358,1.55898,1.45246,1.78018,0.000627048,0.000627048,0.000627048
46,781.222,0.96337,0.80206,1.22336,0.87148,0.85464,0.89652,0.56455,1.58884,1.3689,1.78206,0.000616049,0.000616049,0.000616049
47,816.912,0.98219,0.81194,1.19702,0.89916,0.70288,0.83418,0.50008,1.64632,1.37822,1.83415,0.000605051,0.000605051,0.000605051
48,851.785,0.87988,0.76131,1.14208,0.89916,0.70288,0.83418,0.50008,1.64632,1.37822,1.83415,0.000594052,0.000594052,0.000594052
49,886.603,0.88264,0.74217,1.15778,0.74117,0.7584,0.79077,0.47625,1.60984,1.46308,1.84144,0.000583053,0.000583053,0.000583053
50,921.092,0.86685,0.75939,1.16009,0.74117,0.7584,0.79077,0.47625,1.60984,1.46308,1.84144,0.000572054,0.000572054,0.000572054
51,935.796,0.8844,0.76215,1.21122,0.74464,0.75849,0.84816,0.5358,1.52212,1.40599,1.7211,0.000561055,0.000561055,0.000561055
52,944.698,0.82714,0.69119,1.1225,0.86763,0.75565,0.87672,0.5371,1.49451,1.29976,1.65129,0.000550056,0.000550056,0.000550056
53,953.636,0.80453,0.68711,1.12702,0.86763,0.75565,0.87672,0.5371,1.49451,1.29976,1.65129,0.000539057,0.000539057,0.000539057
54,973.59,0.78879,0.59181,1.06687,0.88172,0.79632,0.8871,0.54461,1.58601,1.33873,1.695,0.000528058,0.000528058,0.000528058
55,1008.19,0.83017,0.67154,1.09114,0.83743,0.71667,0.85777,0.52405,1.53989,1.6322,1.61027,0.000517059,0.000517059,0.000517059
56,1043.16,0.79062,0.64026,1.05865,0.83743,0.71667,0.85777,0.52405,1.53989,1.6322,1.61027,0.00050606,0.00050606,0.00050606
